id,username,created_at,text
8.62672E+17,SFBARTalert,11/5/17 14:12,"b'BART recovering: 10 min delay at 12TH in FRMT, SFO, MLBR and SF dirs due to police activity. Trains are now making normal stops at 12th. St'"
8.6267E+17,SFBARTalert,11/5/17 14:06,"b'10 min delay at 12TH in FRMT, SFO, MLBR and SF dirs due to police activity. Trains are now making normal stops at 12th st'"
8.62669E+17,SFBARTalert,11/5/17 14:02,"b'Trains are not stopping at 12TH in FRMT, SFO and MLBR dirs due to police activity.'"
8.62661E+17,SFBARTalert,11/5/17 13:28,"b'BART recovering: 10 min delay at WOAK in SFO, MLBR and DALY dirs due to police activity.'"
8.62659E+17,SFBARTalert,11/5/17 13:23,"b'10 min delay at WOAK in SFO, MLBR and DALY dirs due to police activity.'"
8.6246E+17,SFBARTalert,11/5/17 0:13,b'BART recovering: 10 min delay on SF line in SFO and DALY dirs due to equip prob.'
8.62449E+17,SFBARTalert,10/5/17 23:27,"b'BART recovering: 20 min delay between DELN and RICH in FRMT, RICH and MLBR dirs due to equip prob.'"
8.62446E+17,SFBARTalert,10/5/17 23:15,"b'10 min delay between DELN and RICH in FRMT, RICH and MLBR dirs due to equip prob.'"
8.62354E+17,SFBARTalert,10/5/17 17:11,"b'BART recovering: 10 min delay at COLS in DUBL, warm springs and FRMT dirs due to equip prob.'"
8.62346E+17,SFBARTalert,10/5/17 16:39,"b'BART recovering: 20 min delay at COLS in DUBL, warm springs and FRMT dirs due to equip prob.'"
8.62345E+17,SFBARTalert,10/5/17 16:34,"b'20 min delay at COLS in DUBL, warm springs and FRMT dirs due to equip prob.'"
8.6234E+17,SFBARTalert,10/5/17 16:14,"b'10 min delay at COLS in DUBL, warm springs and FRMT dirs due to equip prob.'"
8.62322E+17,SFBARTalert,10/5/17 15:02,b'BART recovering: 10 min delay at 24TH in East Bay dir due to equip prob.'
8.62321E+17,SFBARTalert,10/5/17 15:00,b'10 min delay at 24TH in East Bay dir due to equip prob.'
8.61942E+17,SFBARTalert,9/5/17 13:53,b'BART recovering: 10 min delay at BALB in East Bay dirs due to an earlier equipment prob on a train.'
8.61937E+17,SFBARTalert,9/5/17 13:33,b'BART recovering: 10 min delay at BALB in SFO and East Bay dirs due to an earlier equipment prob on a train.'
8.61935E+17,SFBARTalert,9/5/17 13:23,b'10 min delay at BALB in SFO and East Bay dirs due to equip prob.'
8.61934E+17,SFBARTalert,9/5/17 13:21,b'10 min delay at BALB in East Bay dir due to equip prob.'
8.61612E+17,SFBARTalert,8/5/17 16:01,"b'BART recovering: 10 min delay at SF stns in SFO, MLBR and DALY dirs due to equip prob and earlier police activity.'"
8.6114E+17,SFBARTalert,7/5/17 8:45,b'A detailed BART service advisory has been issued: https://t.co/G8Clxd8beX'
8.60832E+17,SFBARTalert,6/5/17 12:21,b'A detailed BART service advisory has been issued: https://t.co/G8Clxd8beX'
8.60723E+17,SFBARTalert,6/5/17 5:07,"b'BART recovering: 10 min delay between CONC and PHIL on PITT line in PITT, SFO and MLBR dirs due to equip prob.'"
8.60721E+17,SFBARTalert,6/5/17 5:02,"b'10 min delay between CONC and PHIL on PITT line in PITT, SFO and MLBR dirs due to equip prob.'"
8.60666E+17,SFBARTalert,6/5/17 1:21,"b'BART recovering: 20 min delay on FRMT line in DUBL, warm springs, RICH and DALY dirs due to police activity.'"
8.60664E+17,SFBARTalert,6/5/17 1:14,b'10 min delay system wide in all dirs due to a variety of probs.'
8.60662E+17,SFBARTalert,6/5/17 1:06,"b'10 min delay on FRMT line in DUBL, warm springs, FRMT, RICH and DALY dirs due to police activity.'"
8.60659E+17,SFBARTalert,6/5/17 0:53,b'10 min delay on FRMT line in RICH and DALY dirs.'
8.60657E+17,SFBARTalert,6/5/17 0:47,b'BART recovering: 10 min delay on PITT line in PITT dir due to police activity.'
8.60634E+17,SFBARTalert,5/5/17 23:14,"b'BART recovering: 10 min delay on SF line in SFO, MLBR, DALY and East Bay dirs due to police activity at WOAK and BALB stns.'"
8.60631E+17,SFBARTalert,5/5/17 23:03,"b'BART recovering: 10 min delay on SF line in SFO, MLBR and DALY dirs due to police activity at WOAK stn.'"
8.60568E+17,SFBARTalert,5/5/17 18:51,b'BART recovering: 20 min delay on PITT line in PITT and SFO dirs due to police activity at CONC.'
8.60565E+17,SFBARTalert,5/5/17 18:39,b'20 min delay between PHIL and NCON in SFO and bay point dirs due to police activity at CONC.'
8.60552E+17,SFBARTalert,5/5/17 17:49,b'BART recovering: 10 min delay at WDUB in DALY dir due to earlier track maintenance.'
8.60548E+17,SFBARTalert,5/5/17 17:33,b'10 min delay at WDUB in DALY dir due to track maint.'
8.60516E+17,SFBARTalert,5/5/17 15:26,b'BART recovering: 10 min delay on PITT line in PITT and DALY dirs due to police activity at LAFY.'
8.60515E+17,SFBARTalert,5/5/17 15:21,b'10 min delay on PITT line in PITT and DALY dirs due to police activity at LAFY.'
8.60343E+17,SFBARTalert,5/5/17 3:58,b'10 min delay on RICH line in warm springs and RICH dirs due to person(s) on track.'
8.60216E+17,SFBARTalert,4/5/17 19:34,b'BART recovering: 10 min delay at 19TH in FRMT dir due to police activity.'
8.60166E+17,SFBARTalert,4/5/17 16:17,"b'BART recovering: 10 min delay at SF stns in SFO, MLBR and DALY dirs due to an medical emergency at EMBR and police activity.'"
8.60149E+17,SFBARTalert,4/5/17 15:09,"b'BART recovering: 20 min delay on PITT line in SFO, DALY and MONT dirs due to police activity. Trains are now stopping at ORIN.'"
